DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
16-Jan-25,EQ,"1,965.95","1,966.95","1,916.85","1,949.65","1,920.05","1,928.45","1,939.38","2,006.45","1,358.35",7533579,"14,61,04,85,616.25",233848
15-Jan-25,EQ,"1,947.00","1,958.05","1,937.10","1,940.05","1,951.65","1,949.65","1,949.16","2,006.45","1,358.35",2985439,"5,81,90,96,239.50",153629
14-Jan-25,EQ,"1,968.85","1,971.80","1,931.10","1,962.20","1,938.00","1,940.05","1,943.92","2,006.45","1,358.35",5792162,"11,25,94,72,879.00",267855
13-Jan-25,EQ,"1,956.00","1,982.80","1,949.00","1,966.95","1,963.00","1,962.20","1,965.87","2,006.45","1,358.35",5804152,"11,41,01,82,349.85",224017
10-Jan-25,EQ,"1,937.00","1,977.80","1,932.25","1,917.30","1,965.80","1,966.95","1,961.18","2,006.45","1,358.35",8036913,"15,76,18,35,256.95",351137
09-Jan-25,EQ,"1,934.05","1,951.85","1,910.55","1,933.15","1,920.10","1,917.30","1,928.12","2,006.45","1,358.35",6833503,"13,17,58,34,552.90",228829
08-Jan-25,EQ,"1,930.00","1,938.60","1,888.75","1,930.85","1,932.75","1,933.15","1,916.14","2,006.45","1,358.35",5482050,"10,50,43,91,305.45",210525
07-Jan-25,EQ,"1,945.00","1,958.55","1,923.65","1,937.85","1,929.00","1,930.85","1,936.28","2,006.45","1,358.35",4294832,"8,31,59,96,332.75",250125
06-Jan-25,EQ,"1,952.00","1,973.00","1,928.00","1,938.75","1,939.00","1,937.85","1,943.77","2,006.45","1,358.35",7164403,"13,92,59,86,567.85",247931
03-Jan-25,EQ,"1,952.95","1,952.95","1,922.00","1,957.85","1,939.10","1,938.75","1,936.53","2,006.45","1,358.35",6218003,"12,04,13,66,929.80",226724
02-Jan-25,EQ,"1,887.00","1,962.65","1,885.30","1,882.50","1,954.75","1,957.85","1,944.51","2,006.45","1,358.35",7083645,"13,77,42,39,233.15",239506
01-Jan-25,EQ,"1,874.00","1,892.95","1,874.00","1,880.00","1,885.00","1,882.50","1,884.95","2,006.45","1,358.35",1838368,"3,46,52,23,831.85",69020
31-Dec-24,EQ,"1,892.30","1,897.00","1,845.05","1,906.00","1,885.65","1,880.00","1,872.77","2,006.45","1,358.35",3613063,"6,76,64,28,350.50",150014
30-Dec-24,EQ,"1,915.70","1,916.00","1,886.50","1,916.75","1,898.45","1,906.00","1,903.27","2,006.45","1,358.35",7789055,"14,82,47,04,664.65",180342
27-Dec-24,EQ,"1,909.40","1,924.15","1,903.90","1,907.40","1,917.00","1,916.75","1,912.07","2,006.45","1,358.35",3937500,"7,52,87,76,747.25",108688
26-Dec-24,EQ,"1,909.05","1,919.75","1,902.30","1,909.05","1,909.00","1,907.40","1,908.04","2,006.45","1,358.35",3623321,"6,91,34,42,832.95",123979
24-Dec-24,EQ,"1,927.05","1,942.00","1,840.00","1,924.30","1,903.35","1,909.05","1,918.59","2,006.45","1,358.35",2360544,"4,52,89,21,027.25",93412
23-Dec-24,EQ,"1,930.05","1,940.00","1,909.00","1,922.15","1,921.00","1,924.30","1,923.61","2,006.45","1,358.35",2781793,"5,35,10,92,778.15",127723
20-Dec-24,EQ,"1,975.15","1,979.95","1,911.25","1,946.20","1,927.80","1,922.15","1,932.55","2,006.45","1,358.35",11056720,"21,36,76,88,611.40",270540
